id,content
4652622906394250,健康发布截至月日时新型冠状病毒肺炎疫情最新情况月日时个省自治区直辖市和新疆生产建设兵团报告新增确诊病例例均为境外输入病例云南例福建例北京例天津例上海例广东例四川例无新增死亡病例无新增疑似病例当日新增治愈出院病例例解除医学观察的密切接触者人重症病例较前一日减少例境外输入现有确诊病例例其中重症病例例无现有疑似病例累计确诊病例例累计治愈出院病例例无死亡病例截至月日时据个省自治区直辖市和新疆生产建设兵团报告现有确诊病例例其中重症病例例累计治愈出院病例例累计死亡病例例累计报告确诊病例例无现有疑似病例累计追踪到密切接触者人尚在医学观察的密切接触者人个省自治区直辖市和新疆生产建设兵团报告新增无症状感染者例均为境外输入当日转为确诊病例例均为境外输入当日解除医学观察例境外输入例尚在医学观察的无症状感染者例境外输入例累计收到港澳台地区通报确诊病例例其中香港特别行政区例出院例死亡例澳门特别行政区例出院例台湾地区例出院例死亡例
4652759418409720,老年双人组周末的一天本来是打算出门吃个煲仔饭再去网吧放纵一下玩个一下午脑袋突然一闪光决定去吃久违的赛百味拍糊了刚好赛百味所在地的商圈就有网咖十分完美吃完依旧晕乎乎刚准备去网咖悲痛发现因为疫情网咖全关门了不死心地挪过去看看大门紧闭烈日当头爬进商场里坐下开始搜索可以进行的娱乐活动例如歌之类结果不是附近的关门了就是好玩的都在很远的地方最后的最后我们斥巨资去关闭的电影院门口享受了分钟的按摩椅全身唤醒套餐啊又是老年的一天
4652759401631270,英国英国疫情英国英国国家医疗服务体系表示到周日月日英国岁以下的成年人中有一半将接种第一剂疫苗在疫苗接种计划向多岁人群开放后的三周内超过万至岁的人群接种了疫苗表示超过五分之四的成年人现在已经接受了第一剂接种超过的人接种了第二剂
4.65276E+15,游泳小时个来回因为疫情游泳馆闭馆了一年多我也一年多没有下水了就连泳帽的松紧都劈了游一个半程就要整理一次泳帽好担心游的过程中泳帽给飞了那真的是太丢脸了允悲允悲允悲柳州柳钢游泳馆
4.65276E+15,我妈做饭水平忽高忽低但是唯独做豆芽炒猪红就非常好吃也很下饭我记得我以前放学回去只要有这个菜我可以干掉两碗米饭也许是想念那个下课回家就有热饭菜吃的时刻也许只是因为那道菜特别好吃今晚就吃它了即便是疫情也要好好吃饭呀有一种英雄主义是过来生活的每一天就从捣鼓每一餐开始最近新买了烤箱解锁了很多新菜谱欢迎四面八方的人儿来做客呀享受在厨房捣鼓的日子也很欣慰于无论我做什么好吃或不好吃我室友每次都能光盘
4.65276E+15,张明同志带队督导检查高台县看守所近期安全管理工作月日上午市公安局党委委员副局长张明带领市局监管支队负责同志到高台县看守所督导检查建党周年安保维稳期间监所安全管理和疫情防控等工作县公安局党委委员副政委李文军陪同检查检查组查看了监所疫情防控工作台账业务台帐和应急处突预案等资料听取了县看守所负责人关于近期监所安全管理维稳安保疫情防控和值班勤务等相关工作汇报检查组对看守所落实疫情防控各项措施监所安全管理值班勤务运行和应急演练等方面的工作给予了充分肯定和高度评价同时结合建党周年安保维稳工作就监所安全管理工作提出了具体要求张明同志强调一要持续抓实抓好七一建党节期间安保维稳暨监所安全管理工作严格落实监管场所各项制度规定进一步优化勤务运行机制严格公正文明执法确保监所安全稳定二要持续抓实抓细监所疫情防控工作要严格执行监所疫情防控高于社会面防控标准的总要求严把收押关出入关隔离关消毒关食品采购关做好民辅警自身及家属的防疫工作确保监管场所疫情零感染三要持续抓实抓细在押人员管理教育工作落实在押人员日常行为规范一日生活制度和群进群出夜间双人值班面对面管理教育医疗卫生出所就医等各项规章制度强化被监管人员行为习惯养成确保监所安全稳定四要持续抓好队伍管理要认真汲取其他监所安全事故教训加强谈心谈话和警示教育进一步规范执法行为严格遵守各项纪律规定提高风险意识筑牢民辅警思想和纪律防线坚决杜绝违规违纪违法事件五要继续开展监所安全隐患大排查工作组织值班民辅警全方位开展各类隐患排查整治切实堵塞安全隐患漏洞确保监所的绝对安全甘肃公安甘肃公安张掖公安张掖公安
4.65274E+15,德尔塔变异毒株已进入台湾社区台疫情指挥中心除了公布日新增例本土新冠肺炎病例人死亡外指挥官陈时中指出屏东县出现了变异毒株群聚感染事件目前累计例经基因定序後均为德尔塔变异毒株感染为避免疫情扩大须采取相关应变措施陈时中表示德尔塔变异毒株已经进入社区所以需要精准疫调扩大划定接触者及采检范围接触者须隔离接受检疫观察央视网快看的微博视频
4.65276E+15,中山记录中山身边事中山扩散周知中山这个客运站暂停营业近期有出行计划的街坊注意月日益华客运站发布通告月日起暂停营业公告称因新冠疫情防控需要积极配合落实非必要不离开中山不出省的抗疫号召经研究后决定益华客运站于年月日至月日期间暂停营业月日恢复正常营业中山
4.65272E+15,越南外卖小哥街头演唱的两首歌和其实不想走的越南翻唱版本在越南地位相当于美团在这边地位可以看看在这次疫情二次爆发前越南南方城市的夜生活鱼翅捞饭和蒜的微博视频
4.65276E+15,国外疫情有重新抬头的趋势可能性
